review_date address_zipcode review_rating price NYC_reviewer
13-10-2015 11432 5.0 star rating $ 0
24-02-2009 10033 2.0 star rating $ 1
13-05-2010 10033 4.0 star rating $ 0
13-06-2015 11234 5.0 star rating UNCLAIMED RESTAURANT 1
12-05-2015 11234 4.0 star rating UNCLAIMED RESTAURANT 0
30-07-2011 11234 4.0 star rating UNCLAIMED RESTAURANT 1
19-04-2015 11234 4.0 star rating $$ 0
18-09-2015 11234 3.0 star rating $$ 0
10-03-2015 11234 3.0 star rating $$ 1
08-11-2015 11234 5.0 star rating $$ 1
18-06-2014 11234 1.0 star rating $$ 0
06-06-2015 11234 4.0 star rating $$ 1
03-10-2010 11234 3.0 star rating $$ 1
20-08-2014 11234 5.0 star rating $$ 1
29-05-2015 11234 3.0 star rating $$ 0
06-02-2013 11234 4.0 star rating $$ 0
11-04-2014 11234 5.0 star rating $$ 1
05-03-2015 11234 2.0 star rating $$ 1
06-06-2013 11234 4.0 star rating $$ 1
18-12-2014 11234 5.0 star rating $$ 0
23-11-2014 11234 5.0 star rating $$ 0
14-10-2014 11234 2.0 star rating $$ 1
19-03-2010 11234 4.0 star rating $$ 1
25-04-2011 11234 5.0 star rating $$ 1
